ExperimentID,ImageName,ImageID,TCS_image,TP_ground,TP_features,FP_ground,FP_features,FN_ground,FN_features,PredictionID,TCS_prediction
15, 000000107767.jpg, 1, 0.000, 4, 0, 1, 5, 2, 0, 1, 0.000
15, 000000107767.jpg, 1, 0.000, 4, 0, 1, 5, 2, 0, 2, 0.000
15, 000000107767.jpg, 1, 0.000, 4, 0, 1, 5, 2, 0, 3, 0.000
15, 000000107767.jpg, 1, 0.000, 4, 0, 1, 5, 2, 0, 4, 0.000
15, 000000107767.jpg, 1, 0.000, 4, 0, 1, 5, 2, 0, 5, 0.000
15, 000000409661.jpg, 2, 0.000, 1, 0, 0, 1, 1, 0, 1, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 1, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 2, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 3, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 4, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 5, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 6, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 7, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 8, 0.000
15, 000000292135.jpg, 3, 0.000, 8, 0, 2, 9, -1, 0, 9, 0.000
15, 000000511700.jpg, 4, 44409.000, 1, 1, 0, 0, 0, 0, 1, 44409.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 1, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 2, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 3, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 4, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 5, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 6, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 7, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 8, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 9, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 10, 0.000
15, 000000357202.jpg, 5, 0.000, 4, 0, 7, 11, 9, 0, 11, 0.000
15, 000000126437.jpg, 6, 5761.000, 1, 1, 0, 0, 0, 0, 1, 5761.000
15, 000000488750.jpg, 7, 0.000, 4, 0, 0, 4, 0, 0, 1, 0.000
15, 000000488750.jpg, 7, 0.000, 4, 0, 0, 4, 0, 0, 2, 0.000
15, 000000488750.jpg, 7, 0.000, 4, 0, 0, 4, 0, 0, 3, 0.000
15, 000000488750.jpg, 7, 0.000, 4, 0, 0, 4, 0, 0, 4, 0.000
15, 000000168557.jpg, 8, 0.000, 3, 0, 1, 4, 2, 0, 1, 0.000
15, 000000168557.jpg, 8, 0.000, 3, 0, 1, 4, 2, 0, 2, 0.000
15, 000000168557.jpg, 8, 0.000, 3, 0, 1, 4, 2, 0, 3, 0.000
15, 000000168557.jpg, 8, 0.000, 3, 0, 1, 4, 2, 0, 4, 0.000
15, 000000458321.jpg, 9, 0.000, 1, 0, 0, 1, 0, 0, 1, 0.000
15, 000000496530.jpg, 10, 0.000, 3, 0, 1, 4, 2, 0, 1, 0.000
15, 000000496530.jpg, 10, 0.000, 3, 0, 1, 4, 2, 0, 2, 0.000
15, 000000496530.jpg, 10, 0.000, 3, 0, 1, 4, 2, 0, 3, 0.000
15, 000000496530.jpg, 10, 0.000, 3, 0, 1, 4, 2, 0, 4, 0.000
15, 000000415354.jpg, 11, 2888.000, 1, 1, 0, 0, 0, 0, 1, 2888.000
15, 000000576449.jpg, 12, 0.000, 3, 0, 0, 3, 0, 1, 1, 0.000
15, 000000576449.jpg, 12, 0.000, 3, 0, 0, 3, 0, 1, 2, 0.000
15, 000000576449.jpg, 12, 0.000, 3, 0, 0, 3, 0, 1, 3, 0.000
15, 000000066088.jpg, 13, 0.000, 2, 1, 0, 1, 0, 0, 1, 0.000
15, 000000066088.jpg, 13, 0.000, 2, 1, 0, 1, 0, 0, 2, 576.000
15, 000000438063.jpg, 14, 0.000, 1, 0, 0, 1, 0, 0, 1, 0.000
