ExperimentID,ImageName,ImageID,AnnotationID,Annotation_left,Annotation_top,Annotation_right,Annotation_bottom
19, 000000011877.jpg, 1, 0, 120, 165, 134, 184
19, 000000572789.jpg, 2, 0, 246, 0, 416, 415
19, 000000572789.jpg, 2, 1, 0, 57, 275, 410
19, 000000503005.jpg, 3, 0, 41, 222, 118, 302
19, 000000044795.jpg, 4, 0, 124, 51, 286, 391
19, 000000044795.jpg, 4, 1, 0, 178, 118, 406
19, 000000044795.jpg, 4, 2, 26, 72, 91, 209
19, 000000044795.jpg, 4, 3, 137, 4, 159, 30
19, 000000044795.jpg, 4, 4, 186, 0, 212, 28
19, 000000044795.jpg, 4, 5, 245, 1, 265, 29
19, 000000044795.jpg, 4, 6, 386, 117, 415, 179
19, 000000044795.jpg, 4, 7, 263, 112, 281, 140
19, 000000044795.jpg, 4, 8, 76, 1, 127, 25
19, 000000044795.jpg, 4, 9, 159, 1, 181, 31
19, 000000044795.jpg, 4, 10, 319, 0, 360, 28
19, 000000044795.jpg, 4, 11, 34, 1, 60, 28
19, 000000044795.jpg, 4, 12, 59, 2, 79, 26
19, 000000025907.jpg, 5, 0, 127, 4, 324, 270
19, 000000108360.jpg, 6, 0, 17, 111, 224, 335
19, 000000026534.jpg, 7, 0, 179, 176, 272, 413
19, 000000200033.jpg, 8, 0, 99, 176, 146, 349
19, 000000200033.jpg, 8, 1, 258, 184, 290, 319
19, 000000200033.jpg, 8, 2, 371, 194, 392, 279
19, 000000200033.jpg, 8, 3, 223, 190, 244, 253
19, 000000200033.jpg, 8, 4, 207, 196, 225, 263
19, 000000200033.jpg, 8, 5, 187, 189, 205, 264
19, 000000200033.jpg, 8, 6, 349, 230, 361, 275
19, 000000200033.jpg, 8, 7, 315, 232, 352, 334
19, 000000200033.jpg, 8, 8, 22, 195, 55, 349
19, 000000200033.jpg, 8, 9, 71, 180, 87, 260
19, 000000200033.jpg, 8, 10, 25, 178, 36, 227
19, 000000200033.jpg, 8, 11, 277, 232, 337, 330
19, 000000200033.jpg, 8, 12, 351, 230, 385, 330
