ExperimentID,ImageName,ImageID,PredictionID,Prediction_left,Prediction_top,Prediction_right,Prediction_bottom,Prediction_confidence
20, crop_000023.png, 1, 1, 204, 68, 282, 394, 99.9
20, crop_000023.png, 1, 2, 394, 222, 400, 234, 1.6
20, crop_000023.png, 1, 3, 389, 219, 403, 253, 2.7
20, crop_000023.png, 1, 4, 404, 213, 415, 257, 15.6
20, person_and_bike_087.png, 2, 1, 172, 23, 281, 360, 100.0
20, person_and_bike_087.png, 2, 2, 119, 97, 291, 414, 1.2
20, person_011.png, 3, 1, 143, 112, 258, 347, 100.0
20, person_011.png, 3, 2, 142, 105, 167, 150, 26.5
20, person_011.png, 3, 3, 400, 103, 411, 129, 1.8
20, person_011.png, 3, 4, 409, 109, 415, 124, 1.2
20, person_011.png, 3, 5, 0, 96, 8, 136, 1.4
20, person_011.png, 3, 6, 151, 101, 165, 140, 9.1
20, person_011.png, 3, 7, 154, 100, 172, 143, 90.0
20, person_011.png, 3, 8, 161, 102, 177, 139, 2.1
20, person_011.png, 3, 9, 407, 115, 415, 129, 1.5
20, person_011.png, 3, 10, 140, 106, 157, 142, 81.4
20, person_015.png, 4, 1, 175, 132, 247, 264, 99.9
20, person_015.png, 4, 2, 165, 157, 182, 191, 21.0
20, person_and_bike_094.png, 5, 1, 139, 38, 251, 352, 99.9
20, person_and_bike_094.png, 5, 2, 81, 143, 319, 382, 1.8
20, person_and_bike_094.png, 5, 3, 55, 58, 61, 69, 2.2
20, person_073.png, 6, 1, 183, 191, 272, 384, 99.7
20, person_073.png, 6, 2, 392, 198, 405, 235, 93.3
20, person_073.png, 6, 3, 412, 207, 414, 232, 1.3
20, person_073.png, 6, 4, 409, 193, 415, 246, 3.0
20, crop001659.png, 7, 1, 259, 139, 296, 270, 99.5
20, crop001659.png, 7, 2, 110, 143, 120, 158, 6.5
20, crop001659.png, 7, 3, 118, 143, 128, 157, 2.7
20, crop001659.png, 7, 4, 140, 146, 152, 159, 1.1
20, crop001659.png, 7, 5, 294, 153, 305, 165, 3.6
20, crop001659.png, 7, 6, 0, 154, 9, 202, 7.3
20, person_and_bike_190.png, 8, 1, 141, 135, 203, 317, 98.2
20, person_and_bike_190.png, 8, 2, 190, 120, 249, 349, 99.9
20, person_and_bike_190.png, 8, 3, 411, 131, 415, 150, 4.5
20, person_and_bike_190.png, 8, 4, 410, 134, 415, 158, 8.8
20, person_and_bike_190.png, 8, 5, 408, 130, 416, 162, 4.2
20, person_098.png, 9, 1, 32, 90, 132, 335, 99.9
20, person_098.png, 9, 2, 93, 109, 247, 351, 100.0
20, person_098.png, 9, 3, 249, 79, 399, 378, 99.9
20, person_098.png, 9, 4, 377, 119, 415, 278, 2.0
20, person_098.png, 9, 5, 389, 163, 414, 237, 2.0
20, person_098.png, 9, 6, 378, 181, 418, 244, 2.2
20, person_098.png, 9, 7, 258, 190, 278, 300, 2.1
20, person_098.png, 9, 8, 264, 207, 285, 308, 1.1
20, person_098.png, 9, 9, 408, 124, 416, 171, 1.0
20, person_056.png, 10, 1, 183, 83, 273, 388, 99.4
20, crop001704.png, 11, 1, 42, 63, 374, 115, 3.0
20, crop001704.png, 11, 2, 336, 73, 413, 388, 71.7
20, crop001704.png, 11, 3, 158, 122, 237, 362, 99.0
20, crop001704.png, 11, 4, 191, 24, 214, 94, 62.1
20, crop001704.png, 11, 5, 270, 61, 286, 136, 8.0
20, crop001704.png, 11, 6, 304, 57, 320, 136, 1.4
20, crop001704.png, 11, 7, 251, 81, 271, 138, 1.7
20, crop001704.png, 11, 8, 0, 175, 23, 257, 1.1
20, crop001704.png, 11, 9, 35, 143, 98, 346, 99.7
20, crop001704.png, 11, 10, 366, 277, 399, 365, 1.5
20, crop001704.png, 11, 11, 369, 256, 412, 393, 9.8
20, crop001704.png, 11, 12, 403, 244, 415, 444, 4.4
20, crop001704.png, 11, 13, 391, 247, 416, 439, 3.2
20, crop001704.png, 11, 14, 399, 320, 415, 430, 3.3
20, crop001704.png, 11, 15, 393, 378, 416, 430, 2.3
20, crop001704.png, 11, 16, 398, 7, 410, 11, 13.9
20, crop001704.png, 11, 17, 406, 7, 414, 11, 1.5
20, crop001704.png, 11, 18, 286, 5, 299, 31, 2.7
20, crop001704.png, 11, 19, 361, 16, 367, 37, 1.4
20, crop001704.png, 11, 20, 360, 5, 370, 41, 65.8
20, crop001704.png, 11, 21, 409, 38, 414, 48, 3.5
20, crop001704.png, 11, 22, 275, 43, 290, 55, 1.8
20, crop001704.png, 11, 23, 299, 33, 306, 64, 52.4
20, crop001704.png, 11, 24, 343, 54, 353, 65, 1.3
20, crop001704.png, 11, 25, 350, 53, 358, 64, 1.7
20, crop001704.png, 11, 26, 304, 41, 316, 90, 3.2
20, crop001704.png, 11, 27, 306, 37, 321, 96, 45.9
20, crop001704.png, 11, 28, 374, 56, 381, 82, 28.0
20, crop001704.png, 11, 29, 169, 62, 178, 77, 2.3
20, crop001704.png, 11, 30, 228, 62, 234, 84, 1.1
20, crop001704.png, 11, 31, 225, 57, 235, 89, 1.7
20, crop001704.png, 11, 32, 230, 57, 238, 88, 77.2
20, crop001704.png, 11, 33, 242, 60, 251, 89, 22.5
20, crop001704.png, 11, 34, 169, 62, 179, 94, 12.7
20, crop001704.png, 11, 35, 190, 72, 195, 88, 1.5
20, crop001704.png, 11, 36, 217, 74, 227, 90, 7.2
