R_i_min,beta_legs,model_confidence_threshold,TP,FP,FN
70.000, 1.000, 0.000, 24095.000, 240677.000, 27646.000
70.000, 1.000, 5.000, 23446.000, 94596.000, 28295.000
70.000, 1.000, 10.000, 23023.000, 61577.000, 28718.000
70.000, 1.000, 15.000, 22707.000, 47805.000, 29034.000
70.000, 1.000, 20.000, 22503.000, 39966.000, 29238.000
70.000, 1.000, 25.000, 22299.000, 34781.000, 29442.000
70.000, 1.000, 30.000, 22080.000, 30800.000, 29661.000
70.000, 1.000, 35.000, 21891.000, 27571.000, 29850.000
70.000, 1.000, 40.000, 21697.000, 25021.000, 30044.000
70.000, 1.000, 45.000, 21477.000, 22816.000, 30264.000
70.000, 1.000, 50.000, 21270.000, 20881.000, 30471.000
70.000, 1.000, 55.000, 21042.000, 19073.000, 30699.000
70.000, 1.000, 60.000, 20777.000, 17344.000, 30964.000
70.000, 1.000, 65.000, 20511.000, 15740.000, 31230.000
70.000, 1.000, 70.000, 20223.000, 14239.000, 31518.000
70.000, 1.000, 75.000, 19889.000, 12645.000, 31852.000
70.000, 1.000, 80.000, 19406.000, 11034.000, 32335.000
70.000, 1.000, 85.000, 18788.000, 9330.000, 32953.000
70.000, 1.000, 90.000, 17935.000, 7405.000, 33806.000
70.000, 1.000, 95.000, 16323.000, 5007.000, 35418.000
70.000, 1.000, 100.000, 2349.000, 57.000, 49392.000
