R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 0.000, 1.000, 18589.000, 29199.000, 33152.000
70.000, 1.000, 0.000, 10.000, 18589.000, 29185.000, 33152.000
70.000, 1.000, 0.000, 20.000, 18582.000, 29044.000, 33159.000
70.000, 1.000, 0.000, 30.000, 18574.000, 28893.000, 33167.000
70.000, 1.000, 0.000, 40.000, 18568.000, 28705.000, 33173.000
70.000, 1.000, 0.000, 50.000, 18555.000, 28450.000, 33186.000
70.000, 1.000, 0.000, 60.000, 18538.000, 28149.000, 33203.000
70.000, 1.000, 0.000, 70.000, 18515.000, 27837.000, 33226.000
70.000, 1.000, 0.000, 75.000, 18505.000, 27706.000, 33236.000
70.000, 1.000, 0.000, 80.000, 18490.000, 27508.000, 33251.000
70.000, 1.000, 0.000, 85.000, 18476.000, 27371.000, 33265.000
70.000, 1.000, 0.000, 90.000, 18456.000, 27197.000, 33285.000
70.000, 1.000, 0.000, 100.000, 18427.000, 26897.000, 33314.000
70.000, 1.000, 0.000, 200.000, 18043.000, 24638.000, 33698.000
70.000, 1.000, 0.000, 700.000, 16263.000, 16270.000, 35478.000
70.000, 1.000, 5.000, 1.000, 18480.000, 18104.000, 33261.000
70.000, 1.000, 5.000, 10.000, 18480.000, 18093.000, 33261.000
70.000, 1.000, 5.000, 20.000, 18474.000, 17975.000, 33267.000
70.000, 1.000, 5.000, 30.000, 18466.000, 17850.000, 33275.000
70.000, 1.000, 5.000, 40.000, 18460.000, 17697.000, 33281.000
70.000, 1.000, 5.000, 50.000, 18447.000, 17488.000, 33294.000
70.000, 1.000, 5.000, 60.000, 18430.000, 17253.000, 33311.000
70.000, 1.000, 5.000, 70.000, 18408.000, 17061.000, 33333.000
70.000, 1.000, 5.000, 75.000, 18398.000, 16975.000, 33343.000
70.000, 1.000, 5.000, 80.000, 18383.000, 16852.000, 33358.000
70.000, 1.000, 5.000, 85.000, 18369.000, 16758.000, 33372.000
70.000, 1.000, 5.000, 90.000, 18349.000, 16644.000, 33392.000
70.000, 1.000, 5.000, 100.000, 18320.000, 16433.000, 33421.000
70.000, 1.000, 5.000, 200.000, 17943.000, 14794.000, 33798.000
70.000, 1.000, 5.000, 700.000, 16192.000, 9446.000, 35549.000
70.000, 1.000, 10.000, 1.000, 18405.000, 15349.000, 33336.000
70.000, 1.000, 10.000, 10.000, 18405.000, 15341.000, 33336.000
70.000, 1.000, 10.000, 20.000, 18399.000, 15231.000, 33342.000
70.000, 1.000, 10.000, 30.000, 18391.000, 15113.000, 33350.000
70.000, 1.000, 10.000, 40.000, 18385.000, 14976.000, 33356.000
70.000, 1.000, 10.000, 50.000, 18372.000, 14779.000, 33369.000
70.000, 1.000, 10.000, 60.000, 18357.000, 14574.000, 33384.000
70.000, 1.000, 10.000, 70.000, 18336.000, 14407.000, 33405.000
70.000, 1.000, 10.000, 75.000, 18326.000, 14334.000, 33415.000
70.000, 1.000, 10.000, 80.000, 18311.000, 14227.000, 33430.000
70.000, 1.000, 10.000, 85.000, 18298.000, 14142.000, 33443.000
70.000, 1.000, 10.000, 90.000, 18279.000, 14052.000, 33462.000
70.000, 1.000, 10.000, 100.000, 18251.000, 13866.000, 33490.000
70.000, 1.000, 10.000, 200.000, 17881.000, 12423.000, 33860.000
70.000, 1.000, 10.000, 700.000, 16143.000, 7848.000, 35598.000
70.000, 1.000, 15.000, 1.000, 18347.000, 14076.000, 33394.000
70.000, 1.000, 15.000, 10.000, 18347.000, 14068.000, 33394.000
70.000, 1.000, 15.000, 20.000, 18341.000, 13965.000, 33400.000
70.000, 1.000, 15.000, 30.000, 18333.000, 13850.000, 33408.000
70.000, 1.000, 15.000, 40.000, 18327.000, 13720.000, 33414.000
70.000, 1.000, 15.000, 50.000, 18314.000, 13531.000, 33427.000
70.000, 1.000, 15.000, 60.000, 18300.000, 13337.000, 33441.000
70.000, 1.000, 15.000, 70.000, 18279.000, 13183.000, 33462.000
70.000, 1.000, 15.000, 75.000, 18269.000, 13115.000, 33472.000
70.000, 1.000, 15.000, 80.000, 18255.000, 13016.000, 33486.000
70.000, 1.000, 15.000, 85.000, 18242.000, 12941.000, 33499.000
70.000, 1.000, 15.000, 90.000, 18224.000, 12861.000, 33517.000
70.000, 1.000, 15.000, 100.000, 18197.000, 12689.000, 33544.000
70.000, 1.000, 15.000, 200.000, 17832.000, 11333.000, 33909.000
70.000, 1.000, 15.000, 700.000, 16110.000, 7134.000, 35631.000
70.000, 1.000, 20.000, 1.000, 18310.000, 13268.000, 33431.000
70.000, 1.000, 20.000, 10.000, 18310.000, 13261.000, 33431.000
70.000, 1.000, 20.000, 20.000, 18304.000, 13163.000, 33437.000
70.000, 1.000, 20.000, 30.000, 18296.000, 13053.000, 33445.000
70.000, 1.000, 20.000, 40.000, 18290.000, 12929.000, 33451.000
70.000, 1.000, 20.000, 50.000, 18277.000, 12755.000, 33464.000
70.000, 1.000, 20.000, 60.000, 18263.000, 12573.000, 33478.000
70.000, 1.000, 20.000, 70.000, 18242.000, 12426.000, 33499.000
70.000, 1.000, 20.000, 75.000, 18232.000, 12362.000, 33509.000
70.000, 1.000, 20.000, 80.000, 18218.000, 12269.000, 33523.000
70.000, 1.000, 20.000, 85.000, 18205.000, 12200.000, 33536.000
