R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 0.000, 1.000, 6586.000, 5505.000, 45155.000
70.000, 1.000, 0.000, 50.000, 6586.000, 5505.000, 45155.000
70.000, 1.000, 0.000, 80.000, 6586.000, 5505.000, 45155.000
70.000, 1.000, 0.000, 85.000, 6586.000, 5505.000, 45155.000
70.000, 1.000, 0.000, 100.000, 6586.000, 5505.000, 45155.000
70.000, 1.000, 0.000, 200.000, 6586.000, 5505.000, 45155.000
70.000, 1.000, 0.000, 700.000, 4854.000, 3018.000, 46887.000
70.000, 1.000, 5.000, 1.000, 6542.000, 2862.000, 45199.000
70.000, 1.000, 5.000, 50.000, 6542.000, 2862.000, 45199.000
70.000, 1.000, 5.000, 80.000, 6542.000, 2862.000, 45199.000
70.000, 1.000, 5.000, 85.000, 6542.000, 2862.000, 45199.000
70.000, 1.000, 5.000, 100.000, 6542.000, 2862.000, 45199.000
70.000, 1.000, 5.000, 200.000, 6542.000, 2862.000, 45199.000
70.000, 1.000, 5.000, 700.000, 4831.000, 1540.000, 46910.000
70.000, 1.000, 10.000, 1.000, 6518.000, 2232.000, 45223.000
70.000, 1.000, 10.000, 50.000, 6518.000, 2232.000, 45223.000
70.000, 1.000, 10.000, 80.000, 6518.000, 2232.000, 45223.000
70.000, 1.000, 10.000, 85.000, 6518.000, 2232.000, 45223.000
70.000, 1.000, 10.000, 100.000, 6518.000, 2232.000, 45223.000
70.000, 1.000, 10.000, 200.000, 6518.000, 2232.000, 45223.000
70.000, 1.000, 10.000, 700.000, 4817.000, 1195.000, 46924.000
70.000, 1.000, 15.000, 1.000, 6507.000, 1976.000, 45234.000
70.000, 1.000, 15.000, 50.000, 6507.000, 1976.000, 45234.000
70.000, 1.000, 15.000, 80.000, 6507.000, 1976.000, 45234.000
70.000, 1.000, 15.000, 85.000, 6507.000, 1976.000, 45234.000
70.000, 1.000, 15.000, 100.000, 6507.000, 1976.000, 45234.000
70.000, 1.000, 15.000, 200.000, 6507.000, 1976.000, 45234.000
70.000, 1.000, 15.000, 700.000, 4809.000, 1051.000, 46932.000
70.000, 1.000, 20.000, 1.000, 6498.000, 1814.000, 45243.000
70.000, 1.000, 20.000, 50.000, 6498.000, 1814.000, 45243.000
70.000, 1.000, 20.000, 80.000, 6498.000, 1814.000, 45243.000
70.000, 1.000, 20.000, 85.000, 6498.000, 1814.000, 45243.000
70.000, 1.000, 20.000, 100.000, 6498.000, 1814.000, 45243.000
70.000, 1.000, 20.000, 200.000, 6498.000, 1814.000, 45243.000
70.000, 1.000, 20.000, 700.000, 4804.000, 978.000, 46937.000
70.000, 1.000, 25.000, 1.000, 6489.000, 1717.000, 45252.000
70.000, 1.000, 25.000, 50.000, 6489.000, 1717.000, 45252.000
