R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 0.000, 1.000, 7622.000, 7032.000, 44119.000
70.000, 1.000, 0.000, 50.000, 7622.000, 7032.000, 44119.000
70.000, 1.000, 0.000, 80.000, 7621.000, 7032.000, 44120.000
70.000, 1.000, 0.000, 85.000, 7621.000, 7032.000, 44120.000
70.000, 1.000, 0.000, 100.000, 7621.000, 7030.000, 44120.000
70.000, 1.000, 0.000, 200.000, 7587.000, 6997.000, 44154.000
70.000, 1.000, 0.000, 700.000, 5633.000, 4104.000, 46108.000
70.000, 1.000, 5.000, 1.000, 7568.000, 3519.000, 44173.000
70.000, 1.000, 5.000, 50.000, 7568.000, 3519.000, 44173.000
70.000, 1.000, 5.000, 80.000, 7567.000, 3519.000, 44174.000
70.000, 1.000, 5.000, 85.000, 7567.000, 3519.000, 44174.000
70.000, 1.000, 5.000, 100.000, 7567.000, 3519.000, 44174.000
70.000, 1.000, 5.000, 200.000, 7533.000, 3502.000, 44208.000
70.000, 1.000, 5.000, 700.000, 5602.000, 2008.000, 46139.000
70.000, 1.000, 10.000, 1.000, 7539.000, 2710.000, 44202.000
70.000, 1.000, 10.000, 50.000, 7539.000, 2710.000, 44202.000
70.000, 1.000, 10.000, 80.000, 7538.000, 2710.000, 44203.000
70.000, 1.000, 10.000, 85.000, 7538.000, 2710.000, 44203.000
70.000, 1.000, 10.000, 100.000, 7538.000, 2710.000, 44203.000
70.000, 1.000, 10.000, 200.000, 7504.000, 2697.000, 44237.000
70.000, 1.000, 10.000, 700.000, 5582.000, 1533.000, 46159.000
70.000, 1.000, 15.000, 1.000, 7524.000, 2367.000, 44217.000
70.000, 1.000, 15.000, 50.000, 7524.000, 2367.000, 44217.000
70.000, 1.000, 15.000, 80.000, 7523.000, 2367.000, 44218.000
70.000, 1.000, 15.000, 85.000, 7523.000, 2367.000, 44218.000
70.000, 1.000, 15.000, 100.000, 7523.000, 2367.000, 44218.000
70.000, 1.000, 15.000, 200.000, 7489.000, 2356.000, 44252.000
70.000, 1.000, 15.000, 700.000, 5571.000, 1324.000, 46170.000
70.000, 1.000, 20.000, 1.000, 7509.000, 2167.000, 44232.000
70.000, 1.000, 20.000, 50.000, 7509.000, 2167.000, 44232.000
70.000, 1.000, 20.000, 80.000, 7508.000, 2167.000, 44233.000
70.000, 1.000, 20.000, 85.000, 7508.000, 2167.000, 44233.000
70.000, 1.000, 20.000, 100.000, 7508.000, 2167.000, 44233.000
70.000, 1.000, 20.000, 200.000, 7474.000, 2156.000, 44267.000
70.000, 1.000, 20.000, 700.000, 5560.000, 1227.000, 46181.000
70.000, 1.000, 25.000, 1.000, 7496.000, 2041.000, 44245.000
70.000, 1.000, 25.000, 50.000, 7496.000, 2041.000, 44245.000
70.000, 1.000, 25.000, 80.000, 7495.000, 2041.000, 44246.000
70.000, 1.000, 25.000, 85.000, 7495.000, 2041.000, 44246.000
70.000, 1.000, 25.000, 100.000, 7495.000, 2041.000, 44246.000
70.000, 1.000, 25.000, 200.000, 7461.000, 2030.000, 44280.000
70.000, 1.000, 25.000, 700.000, 5553.000, 1155.000, 46188.000
70.000, 1.000, 30.000, 1.000, 7477.000, 1907.000, 44264.000
70.000, 1.000, 30.000, 50.000, 7477.000, 1907.000, 44264.000
70.000, 1.000, 30.000, 80.000, 7476.000, 1907.000, 44265.000
70.000, 1.000, 30.000, 85.000, 7476.000, 1907.000, 44265.000
70.000, 1.000, 30.000, 100.000, 7476.000, 1907.000, 44265.000
70.000, 1.000, 30.000, 200.000, 7442.000, 1896.000, 44299.000
70.000, 1.000, 30.000, 700.000, 5546.000, 1087.000, 46195.000
70.000, 1.000, 35.000, 1.000, 7455.000, 1788.000, 44286.000
70.000, 1.000, 35.000, 50.000, 7455.000, 1788.000, 44286.000
70.000, 1.000, 35.000, 80.000, 7454.000, 1788.000, 44287.000
70.000, 1.000, 35.000, 85.000, 7454.000, 1788.000, 44287.000
70.000, 1.000, 35.000, 100.000, 7454.000, 1788.000, 44287.000
70.000, 1.000, 35.000, 200.000, 7420.000, 1777.000, 44321.000
70.000, 1.000, 35.000, 700.000, 5530.000, 1014.000, 46211.000
70.000, 1.000, 40.000, 1.000, 7449.000, 1709.000, 44292.000
70.000, 1.000, 40.000, 50.000, 7449.000, 1709.000, 44292.000
