R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 50.000, 1.000, 18026.000, 10691.000, 33715.000
70.000, 1.000, 50.000, 10.000, 18026.000, 10689.000, 33715.000
70.000, 1.000, 50.000, 20.000, 18020.000, 10605.000, 33721.000
70.000, 1.000, 50.000, 30.000, 18014.000, 10519.000, 33727.000
70.000, 1.000, 50.000, 40.000, 18009.000, 10423.000, 33732.000
70.000, 1.000, 50.000, 50.000, 18000.000, 10288.000, 33741.000
70.000, 1.000, 50.000, 60.000, 17987.000, 10142.000, 33754.000
70.000, 1.000, 50.000, 70.000, 17971.000, 10037.000, 33770.000
70.000, 1.000, 50.000, 80.000, 17948.000, 9914.000, 33793.000
70.000, 1.000, 50.000, 90.000, 17921.000, 9810.000, 33820.000
70.000, 1.000, 50.000, 100.000, 17897.000, 9705.000, 33844.000
70.000, 1.000, 60.000, 1.000, 17843.000, 9910.000, 33898.000
70.000, 1.000, 60.000, 10.000, 17843.000, 9908.000, 33898.000
70.000, 1.000, 60.000, 20.000, 17837.000, 9836.000, 33904.000
70.000, 1.000, 60.000, 30.000, 17831.000, 9762.000, 33910.000
70.000, 1.000, 60.000, 40.000, 17826.000, 9680.000, 33915.000
70.000, 1.000, 60.000, 50.000, 17819.000, 9562.000, 33922.000
70.000, 1.000, 60.000, 60.000, 17807.000, 9428.000, 33934.000
70.000, 1.000, 60.000, 70.000, 17792.000, 9332.000, 33949.000
70.000, 1.000, 60.000, 80.000, 17772.000, 9222.000, 33969.000
70.000, 1.000, 60.000, 90.000, 17745.000, 9130.000, 33996.000
70.000, 1.000, 60.000, 100.000, 17723.000, 9042.000, 34018.000
70.000, 1.000, 70.000, 1.000, 17626.000, 9015.000, 34115.000
70.000, 1.000, 70.000, 10.000, 17626.000, 9013.000, 34115.000
70.000, 1.000, 70.000, 20.000, 17621.000, 8958.000, 34120.000
70.000, 1.000, 70.000, 30.000, 17616.000, 8895.000, 34125.000
70.000, 1.000, 70.000, 40.000, 17612.000, 8827.000, 34129.000
70.000, 1.000, 70.000, 50.000, 17606.000, 8727.000, 34135.000
70.000, 1.000, 70.000, 60.000, 17596.000, 8618.000, 34145.000
70.000, 1.000, 70.000, 70.000, 17582.000, 8536.000, 34159.000
70.000, 1.000, 70.000, 80.000, 17563.000, 8450.000, 34178.000
70.000, 1.000, 70.000, 90.000, 17540.000, 8381.000, 34201.000
70.000, 1.000, 70.000, 100.000, 17518.000, 8304.000, 34223.000
70.000, 1.000, 80.000, 1.000, 17203.000, 7779.000, 34538.000
70.000, 1.000, 80.000, 10.000, 17203.000, 7778.000, 34538.000
70.000, 1.000, 80.000, 20.000, 17200.000, 7743.000, 34541.000
70.000, 1.000, 80.000, 30.000, 17195.000, 7701.000, 34546.000
70.000, 1.000, 80.000, 40.000, 17192.000, 7658.000, 34549.000
70.000, 1.000, 80.000, 50.000, 17187.000, 7584.000, 34554.000
70.000, 1.000, 80.000, 60.000, 17179.000, 7506.000, 34562.000
70.000, 1.000, 80.000, 70.000, 17168.000, 7441.000, 34573.000
70.000, 1.000, 80.000, 80.000, 17154.000, 7379.000, 34587.000
70.000, 1.000, 80.000, 90.000, 17138.000, 7332.000, 34603.000
70.000, 1.000, 80.000, 100.000, 17122.000, 7276.000, 34619.000
70.000, 1.000, 90.000, 1.000, 16281.000, 5853.000, 35460.000
70.000, 1.000, 90.000, 10.000, 16281.000, 5853.000, 35460.000
70.000, 1.000, 90.000, 20.000, 16280.000, 5839.000, 35461.000
70.000, 1.000, 90.000, 30.000, 16278.000, 5822.000, 35463.000
70.000, 1.000, 90.000, 40.000, 16276.000, 5798.000, 35465.000
70.000, 1.000, 90.000, 50.000, 16274.000, 5760.000, 35467.000
70.000, 1.000, 90.000, 60.000, 16270.000, 5715.000, 35471.000
70.000, 1.000, 90.000, 70.000, 16263.000, 5676.000, 35478.000
70.000, 1.000, 90.000, 80.000, 16257.000, 5638.000, 35484.000
70.000, 1.000, 90.000, 90.000, 16249.000, 5620.000, 35492.000
70.000, 1.000, 90.000, 100.000, 16241.000, 5597.000, 35500.000
70.000, 1.000, 100.000, 1.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 10.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 20.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 30.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 40.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 50.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 60.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 70.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 80.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 90.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 100.000, 2287.000, 54.000, 49454.000
