R_i_min,beta_legs,model_confidence_threshold,TCS_i_h_threshold,suspicious_frame_score_threshold,TP_suspicious_MC,FP_suspicious_MC,FN_suspicious_MC,TP_suspicious_predictions,FP_suspicious_predictions,FN_suspicious_predictions
70.000, 1.000, 0.000, 700.000, 1.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 0.000, 700.000, 10.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 0.000, 700.000, 100.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 0.000, 700.000, 1000.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 0.000, 700.000, 2000.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 0.000, 700.000, 3000.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 0.000, 700.000, 4000.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 0.000, 700.000, 5000.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 0.000, 700.000, 6000.000, 0.000, 0.000, 7423.000, 0.000, 0.000, 8592.000
70.000, 1.000, 1.000, 700.000, 1.000, 2854.000, 324.000, 4569.000, 2973.000, 205.000, 5619.000
70.000, 1.000, 1.000, 700.000, 10.000, 2854.000, 324.000, 4569.000, 2965.000, 205.000, 5627.000
70.000, 1.000, 1.000, 700.000, 100.000, 2854.000, 324.000, 4569.000, 2555.000, 180.000, 6037.000
70.000, 1.000, 1.000, 700.000, 1000.000, 2854.000, 324.000, 4569.000, 1383.000, 124.000, 7209.000
70.000, 1.000, 1.000, 700.000, 2000.000, 2854.000, 324.000, 4569.000, 1020.000, 98.000, 7572.000
70.000, 1.000, 1.000, 700.000, 3000.000, 2854.000, 324.000, 4569.000, 788.000, 85.000, 7804.000
70.000, 1.000, 1.000, 700.000, 4000.000, 2854.000, 324.000, 4569.000, 685.000, 82.000, 7907.000
70.000, 1.000, 1.000, 700.000, 5000.000, 2854.000, 324.000, 4569.000, 612.000, 75.000, 7980.000
70.000, 1.000, 1.000, 700.000, 6000.000, 2854.000, 324.000, 4569.000, 554.000, 72.000, 8038.000
70.000, 1.000, 5.000, 200.000, 1.000, 6913.000, 2575.000, 616.000, 7575.000, 1913.000, 888.000
70.000, 1.000, 5.000, 200.000, 10.000, 6913.000, 2575.000, 616.000, 7573.000, 1913.000, 890.000
70.000, 1.000, 5.000, 200.000, 100.000, 6913.000, 2575.000, 616.000, 7472.000, 1821.000, 991.000
70.000, 1.000, 5.000, 200.000, 1000.000, 6913.000, 2575.000, 616.000, 6875.000, 1594.000, 1588.000
70.000, 1.000, 5.000, 200.000, 2000.000, 6913.000, 2575.000, 616.000, 6457.000, 1425.000, 2006.000
70.000, 1.000, 5.000, 200.000, 3000.000, 6913.000, 2575.000, 616.000, 6108.000, 1289.000, 2355.000
70.000, 1.000, 5.000, 200.000, 4000.000, 6913.000, 2575.000, 616.000, 5863.000, 1238.000, 2600.000
70.000, 1.000, 5.000, 200.000, 5000.000, 6913.000, 2575.000, 616.000, 5670.000, 1183.000, 2793.000
70.000, 1.000, 5.000, 200.000, 6000.000, 6913.000, 2575.000, 616.000, 5511.000, 1142.000, 2952.000
70.000, 1.000, 10.000, 200.000, 1.000, 7076.000, 2667.000, 518.000, 7724.000, 2019.000, 752.000
70.000, 1.000, 10.000, 200.000, 10.000, 7076.000, 2667.000, 518.000, 7723.000, 2019.000, 753.000
70.000, 1.000, 10.000, 200.000, 100.000, 7076.000, 2667.000, 518.000, 7641.000, 1935.000, 835.000
70.000, 1.000, 10.000, 200.000, 1000.000, 7076.000, 2667.000, 518.000, 7120.000, 1716.000, 1356.000
70.000, 1.000, 10.000, 200.000, 2000.000, 7076.000, 2667.000, 518.000, 6724.000, 1555.000, 1752.000
70.000, 1.000, 10.000, 200.000, 3000.000, 7076.000, 2667.000, 518.000, 6415.000, 1418.000, 2061.000
70.000, 1.000, 10.000, 200.000, 4000.000, 7076.000, 2667.000, 518.000, 6193.000, 1359.000, 2283.000
70.000, 1.000, 10.000, 200.000, 5000.000, 7076.000, 2667.000, 518.000, 6010.000, 1306.000, 2466.000
70.000, 1.000, 10.000, 200.000, 6000.000, 7076.000, 2667.000, 518.000, 5834.000, 1264.000, 2642.000
70.000, 1.000, 15.000, 200.000, 1.000, 7154.000, 2686.000, 479.000, 7789.000, 2051.000, 694.000
70.000, 1.000, 15.000, 200.000, 10.000, 7154.000, 2686.000, 479.000, 7788.000, 2051.000, 695.000
70.000, 1.000, 15.000, 200.000, 100.000, 7154.000, 2686.000, 479.000, 7716.000, 1968.000, 767.000
70.000, 1.000, 15.000, 200.000, 1000.000, 7154.000, 2686.000, 479.000, 7233.000, 1752.000, 1250.000
70.000, 1.000, 15.000, 200.000, 2000.000, 7154.000, 2686.000, 479.000, 6846.000, 1591.000, 1637.000
70.000, 1.000, 15.000, 200.000, 3000.000, 7154.000, 2686.000, 479.000, 6550.000, 1464.000, 1933.000
70.000, 1.000, 15.000, 200.000, 4000.000, 7154.000, 2686.000, 479.000, 6337.000, 1401.000, 2146.000
70.000, 1.000, 15.000, 200.000, 5000.000, 7154.000, 2686.000, 479.000, 6149.000, 1351.000, 2334.000
70.000, 1.000, 15.000, 200.000, 6000.000, 7154.000, 2686.000, 479.000, 5986.000, 1309.000, 2497.000
70.000, 1.000, 20.000, 200.000, 1.000, 7200.000, 2688.000, 460.000, 7823.000, 2065.000, 667.000
70.000, 1.000, 20.000, 200.000, 10.000, 7200.000, 2688.000, 460.000, 7822.000, 2065.000, 668.000
70.000, 1.000, 20.000, 200.000, 100.000, 7200.000, 2688.000, 460.000, 7756.000, 1985.000, 734.000
70.000, 1.000, 20.000, 200.000, 1000.000, 7200.000, 2688.000, 460.000, 7291.000, 1769.000, 1199.000
70.000, 1.000, 20.000, 200.000, 2000.000, 7200.000, 2688.000, 460.000, 6905.000, 1612.000, 1585.000
70.000, 1.000, 20.000, 200.000, 3000.000, 7200.000, 2688.000, 460.000, 6610.000, 1487.000, 1880.000
70.000, 1.000, 20.000, 200.000, 4000.000, 7200.000, 2688.000, 460.000, 6401.000, 1420.000, 2089.000
70.000, 1.000, 20.000, 200.000, 5000.000, 7200.000, 2688.000, 460.000, 6208.000, 1373.000, 2282.000
70.000, 1.000, 20.000, 200.000, 6000.000, 7200.000, 2688.000, 460.000, 6049.000, 1329.000, 2441.000
70.000, 1.000, 25.000, 100.000, 1.000, 7242.000, 2671.000, 446.000, 7830.000, 2083.000, 648.000
70.000, 1.000, 25.000, 100.000, 10.000, 7242.000, 2671.000, 446.000, 7829.000, 2083.000, 649.000
70.000, 1.000, 25.000, 100.000, 100.000, 7242.000, 2671.000, 446.000, 7769.000, 2002.000, 709.000
70.000, 1.000, 25.000, 100.000, 1000.000, 7242.000, 2671.000, 446.000, 7325.000, 1779.000, 1153.000
70.000, 1.000, 25.000, 100.000, 2000.000, 7242.000, 2671.000, 446.000, 6956.000, 1621.000, 1522.000
70.000, 1.000, 25.000, 100.000, 3000.000, 7242.000, 2671.000, 446.000, 6653.000, 1497.000, 1825.000
70.000, 1.000, 25.000, 100.000, 4000.000, 7242.000, 2671.000, 446.000, 6451.000, 1429.000, 2027.000
70.000, 1.000, 25.000, 100.000, 5000.000, 7242.000, 2671.000, 446.000, 6263.000, 1383.000, 2215.000
70.000, 1.000, 25.000, 100.000, 6000.000, 7242.000, 2671.000, 446.000, 6102.000, 1338.000, 2376.000
70.000, 1.000, 30.000, 100.000, 1.000, 7278.000, 2655.000, 437.000, 7849.000, 2084.000, 635.000
70.000, 1.000, 30.000, 100.000, 10.000, 7278.000, 2655.000, 437.000, 7848.000, 2084.000, 636.000
70.000, 1.000, 30.000, 100.000, 100.000, 7278.000, 2655.000, 437.000, 7791.000, 2003.000, 693.000
70.000, 1.000, 30.000, 100.000, 1000.000, 7278.000, 2655.000, 437.000, 7355.000, 1782.000, 1129.000
70.000, 1.000, 30.000, 100.000, 2000.000, 7278.000, 2655.000, 437.000, 6995.000, 1624.000, 1489.000
70.000, 1.000, 30.000, 100.000, 3000.000, 7278.000, 2655.000, 437.000, 6693.000, 1502.000, 1791.000
70.000, 1.000, 30.000, 100.000, 4000.000, 7278.000, 2655.000, 437.000, 6490.000, 1434.000, 1994.000
70.000, 1.000, 30.000, 100.000, 5000.000, 7278.000, 2655.000, 437.000, 6304.000, 1389.000, 2180.000
70.000, 1.000, 30.000, 100.000, 6000.000, 7278.000, 2655.000, 437.000, 6141.000, 1344.000, 2343.000
70.000, 1.000, 35.000, 100.000, 1.000, 7318.000, 2632.000, 426.000, 7872.000, 2078.000, 623.000
70.000, 1.000, 35.000, 100.000, 10.000, 7318.000, 2632.000, 426.000, 7871.000, 2078.000, 624.000
70.000, 1.000, 35.000, 100.000, 100.000, 7318.000, 2632.000, 426.000, 7812.000, 1998.000, 683.000
70.000, 1.000, 35.000, 100.000, 1000.000, 7318.000, 2632.000, 426.000, 7383.000, 1776.000, 1112.000
70.000, 1.000, 35.000, 100.000, 2000.000, 7318.000, 2632.000, 426.000, 7031.000, 1619.000, 1464.000
70.000, 1.000, 35.000, 100.000, 3000.000, 7318.000, 2632.000, 426.000, 6727.000, 1498.000, 1768.000
70.000, 1.000, 35.000, 100.000, 4000.000, 7318.000, 2632.000, 426.000, 6525.000, 1430.000, 1970.000
70.000, 1.000, 35.000, 100.000, 5000.000, 7318.000, 2632.000, 426.000, 6340.000, 1384.000, 2155.000
70.000, 1.000, 35.000, 100.000, 6000.000, 7318.000, 2632.000, 426.000, 6174.000, 1339.000, 2321.000
70.000, 1.000, 40.000, 100.000, 1.000, 7347.000, 2620.000, 418.000, 7885.000, 2082.000, 612.000
70.000, 1.000, 40.000, 100.000, 10.000, 7347.000, 2620.000, 418.000, 7884.000, 2082.000, 613.000
70.000, 1.000, 40.000, 100.000, 100.000, 7347.000, 2620.000, 418.000, 7825.000, 2002.000, 672.000
70.000, 1.000, 40.000, 100.000, 1000.000, 7347.000, 2620.000, 418.000, 7402.000, 1780.000, 1095.000
70.000, 1.000, 40.000, 100.000, 2000.000, 7347.000, 2620.000, 418.000, 7050.000, 1625.000, 1447.000
70.000, 1.000, 40.000, 100.000, 3000.000, 7347.000, 2620.000, 418.000, 6752.000, 1505.000, 1745.000
70.000, 1.000, 40.000, 100.000, 4000.000, 7347.000, 2620.000, 418.000, 6554.000, 1436.000, 1943.000
70.000, 1.000, 40.000, 100.000, 5000.000, 7347.000, 2620.000, 418.000, 6376.000, 1389.000, 2121.000
70.000, 1.000, 40.000, 100.000, 6000.000, 7347.000, 2620.000, 418.000, 6198.000, 1344.000, 2299.000
70.000, 1.000, 45.000, 100.000, 1.000, 7381.000, 2603.000, 412.000, 7904.000, 2080.000, 600.000
70.000, 1.000, 45.000, 100.000, 10.000, 7381.000, 2603.000, 412.000, 7903.000, 2080.000, 601.000
70.000, 1.000, 45.000, 100.000, 100.000, 7381.000, 2603.000, 412.000, 7847.000, 2001.000, 657.000
70.000, 1.000, 45.000, 100.000, 1000.000, 7381.000, 2603.000, 412.000, 7430.000, 1783.000, 1074.000
70.000, 1.000, 45.000, 100.000, 2000.000, 7381.000, 2603.000, 412.000, 7074.000, 1625.000, 1430.000
70.000, 1.000, 45.000, 100.000, 3000.000, 7381.000, 2603.000, 412.000, 6775.000, 1505.000, 1729.000
70.000, 1.000, 45.000, 100.000, 4000.000, 7381.000, 2603.000, 412.000, 6580.000, 1436.000, 1924.000
70.000, 1.000, 45.000, 100.000, 5000.000, 7381.000, 2603.000, 412.000, 6407.000, 1390.000, 2097.000
70.000, 1.000, 45.000, 100.000, 6000.000, 7381.000, 2603.000, 412.000, 6238.000, 1345.000, 2266.000
70.000, 1.000, 50.000, 100.000, 1.000, 7418.000, 2582.000, 408.000, 7922.000, 2078.000, 591.000
70.000, 1.000, 50.000, 100.000, 10.000, 7418.000, 2582.000, 408.000, 7921.000, 2078.000, 592.000
70.000, 1.000, 50.000, 100.000, 100.000, 7418.000, 2582.000, 408.000, 7865.000, 1998.000, 648.000
70.000, 1.000, 50.000, 100.000, 1000.000, 7418.000, 2582.000, 408.000, 7451.000, 1780.000, 1062.000
70.000, 1.000, 50.000, 100.000, 2000.000, 7418.000, 2582.000, 408.000, 7095.000, 1624.000, 1418.000
70.000, 1.000, 50.000, 100.000, 3000.000, 7418.000, 2582.000, 408.000, 6802.000, 1502.000, 1711.000
70.000, 1.000, 50.000, 100.000, 4000.000, 7418.000, 2582.000, 408.000, 6599.000, 1434.000, 1914.000
70.000, 1.000, 50.000, 100.000, 5000.000, 7418.000, 2582.000, 408.000, 6429.000, 1388.000, 2084.000
70.000, 1.000, 50.000, 100.000, 6000.000, 7418.000, 2582.000, 408.000, 6263.000, 1343.000, 2250.000
70.000, 1.000, 55.000, 100.000, 1.000, 7458.000, 2558.000, 400.000, 7949.000, 2067.000, 580.000
