R_i_min,beta_legs,min_MC_suspicous_threshold,model_confidence_threshold,TCS_i_h_threshold,suspicious_frame_score_threshold,TP_suspicious_features,FP_suspicious_features,FN_suspicious_features,TP_suspicious_predictions,FP_suspicious_predictions,FN_suspicious_predictions,TP_suspicious_features_and_predictions,FP_suspicious_features_and_predictions,FN_suspicious_features_and_predictions,TP_suspicious_MC,FP_suspicious_MC,FN_suspicious_MC
70.000, 1.000, 20.000, 30.000, 100.000, 1.000, 2152.000, 452.000, 6332.000, 5923.000, 111.000, 2561.000, 6414.000, 541.000, 2070.000, 3565.000, 133.000, 4919.000
70.000, 1.000, 20.000, 30.000, 100.000, 100.000, 1900.000, 437.000, 6584.000, 5791.000, 102.000, 2693.000, 6259.000, 519.000, 2225.000, 3327.000, 127.000, 5157.000
70.000, 1.000, 20.000, 30.000, 100.000, 500.000, 1378.000, 318.000, 7106.000, 5130.000, 82.000, 3354.000, 5523.000, 388.000, 2961.000, 2581.000, 108.000, 5903.000
70.000, 1.000, 20.000, 30.000, 100.000, 1000.000, 1045.000, 227.000, 7439.000, 4604.000, 70.000, 3880.000, 4936.000, 289.000, 3548.000, 2154.000, 100.000, 6330.000
70.000, 1.000, 20.000, 30.000, 100.000, 1500.000, 885.000, 179.000, 7599.000, 4280.000, 62.000, 4204.000, 4569.000, 235.000, 3915.000, 1869.000, 97.000, 6615.000
70.000, 1.000, 20.000, 30.000, 100.000, 2000.000, 757.000, 143.000, 7727.000, 3992.000, 57.000, 4492.000, 4254.000, 195.000, 4230.000, 1605.000, 88.000, 6879.000
70.000, 1.000, 20.000, 30.000, 100.000, 2500.000, 658.000, 125.000, 7826.000, 3762.000, 51.000, 4722.000, 4000.000, 172.000, 4484.000, 1430.000, 82.000, 7054.000
70.000, 1.000, 20.000, 30.000, 100.000, 3000.000, 590.000, 114.000, 7894.000, 3555.000, 47.000, 4929.000, 3794.000, 162.000, 4690.000, 1315.000, 79.000, 7169.000
70.000, 1.000, 20.000, 30.000, 100.000, 3500.000, 538.000, 104.000, 7946.000, 3424.000, 46.000, 5060.000, 3663.000, 151.000, 4821.000, 1247.000, 75.000, 7237.000
70.000, 1.000, 20.000, 30.000, 100.000, 4000.000, 502.000, 100.000, 7982.000, 3307.000, 43.000, 5177.000, 3541.000, 143.000, 4943.000, 1187.000, 73.000, 7297.000
70.000, 1.000, 20.000, 30.000, 100.000, 4500.000, 469.000, 99.000, 8015.000, 3188.000, 40.000, 5296.000, 3411.000, 140.000, 5073.000, 1121.000, 71.000, 7363.000
