R_i_min,beta_legs,model_confidence_threshold,TCS_i_h_threshold,suspicious_frame_score_threshold,TP_suspicious_features,FP_suspicious_features,FN_suspicious_features,TP_suspicious_predictions,FP_suspicious_predictions,FN_suspicious_predictions,TP_suspicious_features_and_predictions,FP_suspicious_features_and_predictions,FN_suspicious_features_and_predictions,TP_suspicious_MC,FP_suspicious_MC,FN_suspicious_MC
70.000, 1.000, 0.000, 700.000, 1.000, 989.000, 346.000, 7602.000, 8111.000, 1666.000, 480.000, 8149.000, 1871.000, 442.000, 8563.000, 4238.000, 28.000
70.000, 1.000, 0.000, 700.000, 10.000, 983.000, 345.000, 7608.000, 8110.000, 1666.000, 481.000, 8148.000, 1871.000, 443.000, 8563.000, 4238.000, 28.000
70.000, 1.000, 0.000, 700.000, 50.000, 910.000, 343.000, 7681.000, 8095.000, 1633.000, 496.000, 8132.000, 1842.000, 459.000, 8563.000, 4238.000, 28.000
70.000, 1.000, 0.000, 700.000, 100.000, 867.000, 337.000, 7724.000, 8072.000, 1583.000, 519.000, 8110.000, 1792.000, 481.000, 8563.000, 4238.000, 28.000
70.000, 1.000, 1.000, 700.000, 1.000, 989.000, 346.000, 7602.000, 8111.000, 1666.000, 480.000, 8149.000, 1871.000, 442.000, 8261.000, 2335.000, 330.000
70.000, 1.000, 1.000, 700.000, 10.000, 983.000, 345.000, 7608.000, 8110.000, 1666.000, 481.000, 8148.000, 1871.000, 443.000, 8261.000, 2335.000, 330.000
70.000, 1.000, 1.000, 700.000, 50.000, 910.000, 343.000, 7681.000, 8095.000, 1633.000, 496.000, 8132.000, 1842.000, 459.000, 8261.000, 2335.000, 330.000
70.000, 1.000, 1.000, 700.000, 100.000, 867.000, 337.000, 7724.000, 8072.000, 1583.000, 519.000, 8110.000, 1792.000, 481.000, 8261.000, 2335.000, 330.000
70.000, 1.000, 5.000, 200.000, 1.000, 1423.000, 413.000, 7040.000, 7320.000, 682.000, 1143.000, 7446.000, 1018.000, 1017.000, 8008.000, 2210.000, 455.000
70.000, 1.000, 5.000, 200.000, 10.000, 1416.000, 412.000, 7047.000, 7320.000, 682.000, 1143.000, 7446.000, 1018.000, 1017.000, 8008.000, 2210.000, 455.000
70.000, 1.000, 5.000, 200.000, 50.000, 1325.000, 410.000, 7138.000, 7291.000, 663.000, 1172.000, 7416.000, 1001.000, 1047.000, 8008.000, 2210.000, 455.000
70.000, 1.000, 5.000, 200.000, 100.000, 1251.000, 403.000, 7212.000, 7240.000, 640.000, 1223.000, 7365.000, 974.000, 1098.000, 8008.000, 2210.000, 455.000
70.000, 1.000, 10.000, 200.000, 1.000, 1650.000, 420.000, 6826.000, 6942.000, 397.000, 1534.000, 7156.000, 768.000, 1320.000, 7979.000, 2156.000, 497.000
70.000, 1.000, 10.000, 200.000, 10.000, 1642.000, 419.000, 6834.000, 6942.000, 397.000, 1534.000, 7154.000, 767.000, 1322.000, 7979.000, 2156.000, 497.000
70.000, 1.000, 10.000, 200.000, 50.000, 1547.000, 417.000, 6929.000, 6918.000, 385.000, 1558.000, 7128.000, 755.000, 1348.000, 7979.000, 2156.000, 497.000
70.000, 1.000, 10.000, 200.000, 100.000, 1452.000, 410.000, 7024.000, 6856.000, 370.000, 1620.000, 7061.000, 735.000, 1415.000, 7979.000, 2156.000, 497.000
70.000, 1.000, 15.000, 200.000, 1.000, 1796.000, 437.000, 6687.000, 6658.000, 266.000, 1825.000, 6925.000, 665.000, 1558.000, 7959.000, 2138.000, 524.000
70.000, 1.000, 15.000, 200.000, 10.000, 1788.000, 436.000, 6695.000, 6658.000, 266.000, 1825.000, 6923.000, 664.000, 1560.000, 7959.000, 2138.000, 524.000
70.000, 1.000, 15.000, 200.000, 50.000, 1687.000, 434.000, 6796.000, 6634.000, 256.000, 1849.000, 6891.000, 653.000, 1592.000, 7959.000, 2138.000, 524.000
70.000, 1.000, 15.000, 200.000, 100.000, 1576.000, 427.000, 6907.000, 6564.000, 244.000, 1919.000, 6814.000, 636.000, 1669.000, 7959.000, 2138.000, 524.000
70.000, 1.000, 20.000, 200.000, 1.000, 1918.000, 444.000, 6572.000, 6438.000, 180.000, 2052.000, 6767.000, 590.000, 1723.000, 7951.000, 2124.000, 539.000
70.000, 1.000, 20.000, 200.000, 10.000, 1910.000, 443.000, 6580.000, 6438.000, 180.000, 2052.000, 6765.000, 589.000, 1725.000, 7951.000, 2124.000, 539.000
70.000, 1.000, 20.000, 200.000, 50.000, 1805.000, 441.000, 6685.000, 6412.000, 175.000, 2078.000, 6728.000, 582.000, 1762.000, 7951.000, 2124.000, 539.000
70.000, 1.000, 20.000, 200.000, 100.000, 1680.000, 430.000, 6810.000, 6353.000, 169.000, 2137.000, 6658.000, 570.000, 1832.000, 7951.000, 2124.000, 539.000
70.000, 1.000, 25.000, 100.000, 1.000, 2030.000, 451.000, 6448.000, 6123.000, 136.000, 2355.000, 6538.000, 560.000, 1940.000, 7922.000, 2135.000, 556.000
70.000, 1.000, 25.000, 100.000, 10.000, 2023.000, 450.000, 6455.000, 6123.000, 136.000, 2355.000, 6536.000, 559.000, 1942.000, 7922.000, 2135.000, 556.000
70.000, 1.000, 25.000, 100.000, 50.000, 1912.000, 447.000, 6566.000, 6089.000, 133.000, 2389.000, 6488.000, 553.000, 1990.000, 7922.000, 2135.000, 556.000
70.000, 1.000, 25.000, 100.000, 100.000, 1781.000, 436.000, 6697.000, 6007.000, 128.000, 2471.000, 6400.000, 540.000, 2078.000, 7922.000, 2135.000, 556.000
70.000, 1.000, 30.000, 100.000, 1.000, 2152.000, 452.000, 6332.000, 5923.000, 111.000, 2561.000, 6414.000, 541.000, 2070.000, 7920.000, 2123.000, 564.000
70.000, 1.000, 30.000, 100.000, 10.000, 2145.000, 451.000, 6339.000, 5923.000, 111.000, 2561.000, 6412.000, 540.000, 2072.000, 7920.000, 2123.000, 564.000
70.000, 1.000, 30.000, 100.000, 50.000, 2033.000, 448.000, 6451.000, 5885.000, 108.000, 2599.000, 6356.000, 534.000, 2128.000, 7920.000, 2123.000, 564.000
70.000, 1.000, 30.000, 100.000, 100.000, 1900.000, 437.000, 6584.000, 5791.000, 102.000, 2693.000, 6251.000, 519.000, 2233.000, 7920.000, 2123.000, 564.000
70.000, 1.000, 35.000, 100.000, 1.000, 2273.000, 453.000, 6222.000, 5737.000, 86.000, 2758.000, 6299.000, 522.000, 2196.000, 7926.000, 2109.000, 569.000
70.000, 1.000, 35.000, 100.000, 10.000, 2266.000, 452.000, 6229.000, 5737.000, 86.000, 2758.000, 6297.000, 521.000, 2198.000, 7926.000, 2109.000, 569.000
70.000, 1.000, 35.000, 100.000, 50.000, 2154.000, 449.000, 6341.000, 5702.000, 86.000, 2793.000, 6238.000, 518.000, 2257.000, 7926.000, 2109.000, 569.000
70.000, 1.000, 35.000, 100.000, 100.000, 2011.000, 438.000, 6484.000, 5602.000, 80.000, 2893.000, 6123.000, 502.000, 2372.000, 7926.000, 2109.000, 569.000
