R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 0.000, 1.000, 458.000, 450.000, 131.000
70.000, 1.000, 0.000, 10.000, 458.000, 450.000, 131.000
70.000, 1.000, 0.000, 20.000, 458.000, 448.000, 131.000
70.000, 1.000, 0.000, 30.000, 458.000, 447.000, 131.000
70.000, 1.000, 0.000, 40.000, 458.000, 445.000, 131.000
70.000, 1.000, 0.000, 50.000, 458.000, 443.000, 131.000
70.000, 1.000, 0.000, 60.000, 458.000, 438.000, 131.000
70.000, 1.000, 0.000, 70.000, 458.000, 434.000, 131.000
70.000, 1.000, 0.000, 75.000, 458.000, 433.000, 131.000
70.000, 1.000, 0.000, 80.000, 458.000, 430.000, 131.000
70.000, 1.000, 0.000, 85.000, 458.000, 430.000, 131.000
70.000, 1.000, 0.000, 90.000, 458.000, 430.000, 131.000
70.000, 1.000, 0.000, 100.000, 458.000, 427.000, 131.000
70.000, 1.000, 0.000, 200.000, 457.000, 395.000, 132.000
70.000, 1.000, 0.000, 700.000, 445.000, 267.000, 144.000
70.000, 1.000, 5.000, 1.000, 458.000, 325.000, 131.000
70.000, 1.000, 5.000, 10.000, 458.000, 325.000, 131.000
70.000, 1.000, 5.000, 20.000, 458.000, 323.000, 131.000
70.000, 1.000, 5.000, 30.000, 458.000, 322.000, 131.000
70.000, 1.000, 5.000, 40.000, 458.000, 320.000, 131.000
70.000, 1.000, 5.000, 50.000, 458.000, 319.000, 131.000
70.000, 1.000, 5.000, 60.000, 458.000, 317.000, 131.000
70.000, 1.000, 5.000, 70.000, 458.000, 315.000, 131.000
70.000, 1.000, 5.000, 75.000, 458.000, 315.000, 131.000
70.000, 1.000, 5.000, 80.000, 458.000, 312.000, 131.000
70.000, 1.000, 5.000, 85.000, 458.000, 312.000, 131.000
70.000, 1.000, 5.000, 90.000, 458.000, 312.000, 131.000
70.000, 1.000, 5.000, 100.000, 458.000, 310.000, 131.000
70.000, 1.000, 5.000, 200.000, 457.000, 283.000, 132.000
70.000, 1.000, 5.000, 700.000, 445.000, 195.000, 144.000
70.000, 1.000, 10.000, 1.000, 458.000, 294.000, 131.000
70.000, 1.000, 10.000, 10.000, 458.000, 294.000, 131.000
70.000, 1.000, 10.000, 20.000, 458.000, 293.000, 131.000
70.000, 1.000, 10.000, 30.000, 458.000, 292.000, 131.000
70.000, 1.000, 10.000, 40.000, 458.000, 290.000, 131.000
70.000, 1.000, 10.000, 50.000, 458.000, 289.000, 131.000
70.000, 1.000, 10.000, 60.000, 458.000, 287.000, 131.000
70.000, 1.000, 10.000, 70.000, 458.000, 285.000, 131.000
70.000, 1.000, 10.000, 75.000, 458.000, 285.000, 131.000
70.000, 1.000, 10.000, 80.000, 458.000, 283.000, 131.000
70.000, 1.000, 10.000, 85.000, 458.000, 283.000, 131.000
70.000, 1.000, 10.000, 90.000, 458.000, 283.000, 131.000
70.000, 1.000, 10.000, 100.000, 458.000, 281.000, 131.000
70.000, 1.000, 10.000, 200.000, 457.000, 259.000, 132.000
70.000, 1.000, 10.000, 700.000, 445.000, 180.000, 144.000
70.000, 1.000, 15.000, 1.000, 458.000, 281.000, 131.000
70.000, 1.000, 15.000, 10.000, 458.000, 281.000, 131.000
70.000, 1.000, 15.000, 20.000, 458.000, 280.000, 131.000
70.000, 1.000, 15.000, 30.000, 458.000, 279.000, 131.000
70.000, 1.000, 15.000, 40.000, 458.000, 277.000, 131.000
70.000, 1.000, 15.000, 50.000, 458.000, 276.000, 131.000
70.000, 1.000, 15.000, 60.000, 458.000, 274.000, 131.000
70.000, 1.000, 15.000, 70.000, 458.000, 273.000, 131.000
70.000, 1.000, 15.000, 75.000, 458.000, 273.000, 131.000
70.000, 1.000, 15.000, 80.000, 458.000, 271.000, 131.000
70.000, 1.000, 15.000, 85.000, 458.000, 271.000, 131.000
70.000, 1.000, 15.000, 90.000, 458.000, 271.000, 131.000
70.000, 1.000, 15.000, 100.000, 458.000, 269.000, 131.000
70.000, 1.000, 15.000, 200.000, 457.000, 249.000, 132.000
70.000, 1.000, 15.000, 700.000, 445.000, 174.000, 144.000
70.000, 1.000, 20.000, 1.000, 458.000, 275.000, 131.000
70.000, 1.000, 20.000, 10.000, 458.000, 275.000, 131.000
70.000, 1.000, 20.000, 20.000, 458.000, 274.000, 131.000
70.000, 1.000, 20.000, 30.000, 458.000, 273.000, 131.000
70.000, 1.000, 20.000, 40.000, 458.000, 271.000, 131.000
70.000, 1.000, 20.000, 50.000, 458.000, 270.000, 131.000
70.000, 1.000, 20.000, 60.000, 458.000, 268.000, 131.000
70.000, 1.000, 20.000, 70.000, 458.000, 268.000, 131.000
70.000, 1.000, 20.000, 75.000, 458.000, 268.000, 131.000
70.000, 1.000, 20.000, 80.000, 458.000, 266.000, 131.000
70.000, 1.000, 20.000, 85.000, 458.000, 266.000, 131.000
70.000, 1.000, 20.000, 90.000, 458.000, 266.000, 131.000
70.000, 1.000, 20.000, 100.000, 458.000, 264.000, 131.000
70.000, 1.000, 20.000, 200.000, 457.000, 245.000, 132.000
70.000, 1.000, 20.000, 700.000, 445.000, 172.000, 144.000
70.000, 1.000, 25.000, 1.000, 458.000, 270.000, 131.000
70.000, 1.000, 25.000, 10.000, 458.000, 270.000, 131.000
70.000, 1.000, 25.000, 20.000, 458.000, 269.000, 131.000
70.000, 1.000, 25.000, 30.000, 458.000, 268.000, 131.000
70.000, 1.000, 25.000, 40.000, 458.000, 266.000, 131.000
70.000, 1.000, 25.000, 50.000, 458.000, 265.000, 131.000
70.000, 1.000, 25.000, 60.000, 458.000, 263.000, 131.000
70.000, 1.000, 25.000, 70.000, 458.000, 263.000, 131.000
70.000, 1.000, 25.000, 75.000, 458.000, 263.000, 131.000
70.000, 1.000, 25.000, 80.000, 458.000, 262.000, 131.000
70.000, 1.000, 25.000, 85.000, 458.000, 262.000, 131.000
70.000, 1.000, 25.000, 90.000, 458.000, 262.000, 131.000
70.000, 1.000, 25.000, 100.000, 458.000, 260.000, 131.000
70.000, 1.000, 25.000, 200.000, 457.000, 242.000, 132.000
70.000, 1.000, 25.000, 700.000, 445.000, 169.000, 144.000
70.000, 1.000, 30.000, 1.000, 458.000, 267.000, 131.000
70.000, 1.000, 30.000, 10.000, 458.000, 267.000, 131.000
70.000, 1.000, 30.000, 20.000, 458.000, 266.000, 131.000
70.000, 1.000, 30.000, 30.000, 458.000, 265.000, 131.000
70.000, 1.000, 30.000, 40.000, 458.000, 263.000, 131.000
70.000, 1.000, 30.000, 50.000, 458.000, 262.000, 131.000
70.000, 1.000, 30.000, 60.000, 458.000, 260.000, 131.000
70.000, 1.000, 30.000, 70.000, 458.000, 260.000, 131.000
70.000, 1.000, 30.000, 75.000, 458.000, 260.000, 131.000
70.000, 1.000, 30.000, 80.000, 458.000, 259.000, 131.000
70.000, 1.000, 30.000, 85.000, 458.000, 259.000, 131.000
70.000, 1.000, 30.000, 90.000, 458.000, 259.000, 131.000
70.000, 1.000, 30.000, 100.000, 458.000, 257.000, 131.000
70.000, 1.000, 30.000, 200.000, 457.000, 239.000, 132.000
70.000, 1.000, 30.000, 700.000, 445.000, 168.000, 144.000
70.000, 1.000, 35.000, 1.000, 458.000, 265.000, 131.000
70.000, 1.000, 35.000, 10.000, 458.000, 265.000, 131.000
70.000, 1.000, 35.000, 20.000, 458.000, 264.000, 131.000
70.000, 1.000, 35.000, 30.000, 458.000, 263.000, 131.000
70.000, 1.000, 35.000, 40.000, 458.000, 261.000, 131.000
70.000, 1.000, 35.000, 50.000, 458.000, 260.000, 131.000
70.000, 1.000, 35.000, 60.000, 458.000, 258.000, 131.000
70.000, 1.000, 35.000, 70.000, 458.000, 258.000, 131.000
70.000, 1.000, 35.000, 75.000, 458.000, 258.000, 131.000
70.000, 1.000, 35.000, 80.000, 458.000, 257.000, 131.000
70.000, 1.000, 35.000, 85.000, 458.000, 257.000, 131.000
70.000, 1.000, 35.000, 90.000, 458.000, 257.000, 131.000
70.000, 1.000, 35.000, 100.000, 458.000, 255.000, 131.000
70.000, 1.000, 35.000, 200.000, 457.000, 238.000, 132.000
70.000, 1.000, 35.000, 700.000, 445.000, 168.000, 144.000
70.000, 1.000, 40.000, 1.000, 458.000, 258.000, 131.000
70.000, 1.000, 40.000, 10.000, 458.000, 258.000, 131.000
70.000, 1.000, 40.000, 20.000, 458.000, 257.000, 131.000
70.000, 1.000, 40.000, 30.000, 458.000, 256.000, 131.000
70.000, 1.000, 40.000, 40.000, 458.000, 254.000, 131.000
70.000, 1.000, 40.000, 50.000, 458.000, 253.000, 131.000
